"","Series","Period","Method","RMSE","MAE","MAPE"
"84","N0906","QUARTERLY","medianPertBEAT",0.0910440917033551,0.0809946872966616,16.576870972495
"85","N0907","QUARTERLY","Auto.Arima",0.0824331895198824,0.0725321195289612,8.94601031568689
"86","N0907","QUARTERLY","BSTS",0.0319848363323505,0.0281353346560404,3.47489096150456
"87","N0907","QUARTERLY","ETS",0.0328903849171406,0.025316110265132,3.08486654560643
"88","N0907","QUARTERLY","THETA",0.0427807056950455,0.0340260061608139,4.13735662231076
"89","N0907","QUARTERLY","BEA",0.0486360468549198,0.0412662530538068,5.07589256822901
"90","N0907","QUARTERLY","EAT",0.0518239144324879,0.0418378395966599,5.10836607313735
"91","N0907","QUARTERLY","BAT",0.0515898597888463,0.0435058494898671,5.33107091780701
"92","N0907","QUARTERLY","BET",0.0352173967712814,0.0270389113056863,3.28465962174324
"93","N0907","QUARTERLY","BEAT",0.0467193849532218,0.038412213361505,4.69999729522915
"94","N0907","QUARTERLY","medianBEAT",0.0387181592547285,0.0310919376403512,3.78975705698319
"95","N0907","QUARTERLY","meanBaggedBEAT",0.0691794865162243,0.05877512807715,7.16143658219332
"96","N0907","QUARTERLY","medianBaggedBEAT",0.0708833037574532,0.0612122189313841,7.47504878986965
"97","N0907","QUARTERLY","meanPertBEAT",0.0635988889383334,0.0543407570944745,6.63838790703672
"98","N0907","QUARTERLY","medianPertBEAT",0.0616331557698717,0.0529411604077814,6.48265711837385
"99","N0908","QUARTERLY","Auto.Arima",0.120312202908635,0.109072042691966,8.78145631120403
"100","N0908","QUARTERLY","BSTS",0.0734067582785012,0.0672630966870904,5.42823694536276
"101","N0908","QUARTERLY","ETS",0.0945696981229276,0.0870089068807799,7.03236283796517
"102","N0908","QUARTERLY","THETA",0.114396688041466,0.103267704404289,8.31050791554222
"103","N0908","QUARTERLY","BEA",0.0948357315119586,0.0840853313602556,6.76083041136834
"104","N0908","QUARTERLY","EAT",0.108458014584421,0.0969349674669652,7.79498236186266
"105","N0908","QUARTERLY","BAT",0.101828931214054,0.0909513348197898,7.31205122677504
"106","N0908","QUARTERLY","BET",0.0928376494766922,0.0823653122648436,6.62243306555336
"107","N0908","QUARTERLY","BEAT",0.0993432570774817,0.0878297899410027,7.05728413479171
"108","N0908","QUARTERLY","medianBEAT",0.102960655801939,0.0913151570090518,7.3405784328261
"109","N0908","QUARTERLY","meanBaggedBEAT",0.148281116901372,0.139780388842248,11.3078965402783
"110","N0908","QUARTERLY","medianBaggedBEAT",0.134891425396653,0.125436070705244,10.1295047878353
"111","N0908","QUARTERLY","meanPertBEAT",0.145362446446412,0.136735349415211,11.0610655314262
"112","N0908","QUARTERLY","medianPertBEAT",0.151916662043352,0.143383709466338,11.6099975950415
"113","N0909","QUARTERLY","Auto.Arima",0.14141426144826,0.116835755889317,10.6371331837666
"114","N0909","QUARTERLY","BSTS",0.0945842439825162,0.068255271675116,6.15301497544655
"115","N0909","QUARTERLY","ETS",0.104848267722173,0.0786677402619584,7.11430959590292
"116","N0909","QUARTERLY","THETA",0.113400638705852,0.0852443515903042,7.72645570188457
"117","N0909","QUARTERLY","BEA",0.111699375611323,0.0868276673396374,7.85476138621441
"118","N0909","QUARTERLY","EAT",0.118136002782125,0.0929834581913506,8.42879468143731
"119","N0909","QUARTERLY","BAT",0.114383342094118,0.0890198711157526,8.05881008820829
"120","N0909","QUARTERLY","BET",0.104171027364517,0.0768963569624757,6.94837370466779
"121","N0909","QUARTERLY","BEAT",0.111875366109866,0.0864318384023041,7.82268496513195
"122","N0909","QUARTERLY","medianBEAT",0.10619441577318,0.0795541073688744,7.19177245314041
"123","N0909","QUARTERLY","meanBaggedBEAT",0.140416073802032,0.119854320531811,11.002633605776
"124","N0909","QUARTERLY","medianBaggedBEAT",0.141618233955375,0.120848674755055,11.0974299177372
"125","N0909","QUARTERLY","meanPertBEAT",0.150030254001855,0.126575410475997,11.6065866708343
"126","N0909","QUARTERLY","medianPertBEAT",0.145206729651398,0.123278547696926,11.3036342903007
"127","N0910","QUARTERLY","Auto.Arima",0.114629230793021,0.094301919544638,10.8283223369561
"128","N0910","QUARTERLY","BSTS",0.152256870891233,0.131728043189916,15.3081720596779
"129","N0910","QUARTERLY","ETS",0.114625508436522,0.0942973947780904,10.8277743747748
"130","N0910","QUARTERLY","THETA",0.131849668049964,0.110112259214583,12.6941907394778
"131","N0910","QUARTERLY","BEA",0.126588510319,0.106775785837548,12.3214229238029
"132","N0910","QUARTERLY","EAT",0.120195404165994,0.099570524512437,11.4500958170696
"133","N0910","QUARTERLY","BAT",0.132473567119014,0.112047407316379,12.9435617120373
"134","N0910","QUARTERLY","BET",0.132472291424548,0.112045899060863,12.9433790579768
"135","N0910","QUARTERLY","BEAT",0.12787717538915,0.107609904181807,12.4146148777217
"136","N0910","QUARTERLY","medianBEAT",0.12317377486122,0.102563580686664,11.8067200082163
