"","X","Series","Period","Method","RMSE","MAE","MAPE"
"35356",34,"N0553","YEARLY","EAT",0.36342345027568,0.311612631252315,31.6793261362208
"35357",35,"N0553","YEARLY","BAT",0.318805220296566,0.271594430430915,27.660843856444
"35358",36,"N0553","YEARLY","BET",0.329921104774121,0.282199605672422,28.7100997275868
"35359",37,"N0553","YEARLY","BEAT",0.340037810459378,0.291003145200022,29.6009110093206
"35360",38,"N0553","YEARLY","medianBEAT",0.343238606266226,0.292804302124801,29.808432970356
"35361",39,"N0553","YEARLY","meanBaggedBEAT",0.350031076635157,0.304894193613002,30.8685265287026
"35362",40,"N0553","YEARLY","medianBaggedBEAT",0.353753369291102,0.307117833696392,31.1205533913406
"35363",41,"N0553","YEARLY","meanPertBEAT",0.352538270694797,0.307088083174939,31.0898328546847
"35364",42,"N0553","YEARLY","medianPertBEAT",0.346452284838816,0.300458702138119,30.4554322389353
"35365",43,"N0554","YEARLY","Auto.Arima",0.298574571650208,0.256083111810617,25.8456393103209
"35366",44,"N0554","YEARLY","BSTS",0.228970914070996,0.192606767451092,19.5204852077201
"35367",45,"N0554","YEARLY","ETS",0.297201024082663,0.254838459028455,25.7215231944649
"35368",46,"N0554","YEARLY","THETA",0.241654916703251,0.204426218979554,20.694123695512
"35369",47,"N0554","YEARLY","BEA",0.274874162988731,0.234509446096721,23.6958825708353
"35370",48,"N0554","YEARLY","EAT",0.279118631796184,0.238449263272875,24.0870954000993
"35371",49,"N0554","YEARLY","BAT",0.25636248687794,0.217705366080421,22.020082737851
"35372",50,"N0554","YEARLY","BET",0.255905937052025,0.2172904818197,21.9787106992323
"35373",51,"N0554","YEARLY","BEAT",0.26656104499673,0.226988639317429,22.9454428520045
"35374",52,"N0554","YEARLY","medianBEAT",0.269399628276604,0.229632339004004,23.2078234449885
"35375",53,"N0554","YEARLY","meanBaggedBEAT",0.226013533360125,0.187428708178009,19.0492288050418
